"","N_1","N_2","N_3","Y_1","Y_2","Y_3"
"Gene_220",31,42,30,8,28,39
"Gene_221",40,68,153,30,33,40
"Gene_222",125,99,140,81,160,129
"Gene_223",8,4,7,7,7,8
"Gene_224",2,0,6,2,1,2
"Gene_225",3020,2415,1961,2365,4118,2401
"Gene_226",71,195,95,128,85,223
"Gene_227",56,70,89,69,75,78
"Gene_228",17,17,11,5,14,18
"Gene_229",5,12,9,2,2,5
"Gene_230",13,14,27,10,13,4
"Gene_231",84,58,142,52,79,84
"Gene_232",0,1,11,1,4,2
"Gene_233",29,39,29,49,29,29
"Gene_234",29,64,80,75,33,39
"Gene_235",57,61,57,70,61,46
"Gene_236",22,30,37,37,43,47
"Gene_237",293,218,215,280,242,399
"Gene_238",3,12,30,29,14,30
"Gene_239",5,7,5,1,3,1
"Gene_240",431,330,217,297,472,318
"Gene_241",203,161,187,222,231,182
"Gene_242",0,0,2,0,0,1
"Gene_243",9,12,9,4,9,4
"Gene_244",0,1,1,1,1,0
"Gene_245",418,497,319,697,594,596
"Gene_246",1,6,9,6,5,2
"Gene_247",3,1,0,1,2,0
"Gene_248",7,5,5,2,4,11
"Gene_249",61,62,62,103,81,69
"Gene_250",250,236,214,245,365,257
"Gene_251",21,24,15,20,19,20
"Gene_252",104,95,110,100,132,121
"Gene_253",0,0,0,0,0,1
"Gene_254",12,10,20,14,5,5
"Gene_255",108,82,135,106,163,159
"Gene_256",157,212,128,353,244,202
"Gene_257",75,51,103,70,81,56
"Gene_258",0,2,10,5,3,4
"Gene_259",0,1,4,8,0,1
"Gene_260",256,345,510,512,304,367
"Gene_261",25,32,15,22,22,32
"Gene_262",124,121,126,51,136,130
"Gene_263",2,1,1,0,2,0
"Gene_264",8,4,4,1,8,10
"Gene_265",10,3,6,17,8,24
"Gene_266",1,0,3,4,0,1
"Gene_267",80,102,217,106,93,85
"Gene_268",84,104,45,45,101,68
"Gene_269",3,1,3,1,7,0
"Gene_270",108,128,112,87,266,104
"Gene_271",0,1,0,0,0,1
"Gene_272",34,30,22,13,45,29
"Gene_273",0,0,0,0,2,0
"Gene_274",123,86,42,55,159,92
"Gene_275",9,18,20,10,10,22
"Gene_276",0,0,1,0,0,0
"Gene_277",294,256,234,264,328,422
"Gene_278",423,656,245,615,825,397
"Gene_279",213,229,216,348,308,248
"Gene_280",86,117,124,140,118,158
"Gene_281",0,0,1,0,0,1
"Gene_282",1,0,0,5,0,0
"Gene_283",20,19,5,11,19,13
"Gene_284",9,6,7,10,8,9
"Gene_285",1,1,0,0,0,1
"Gene_286",17,27,13,43,33,20
"Gene_287",4,10,4,1,8,17
"Gene_288",185,152,175,72,186,173
"Gene_289",30,21,25,23,33,30
"Gene_290",19,22,19,17,29,41
"Gene_291",9,9,13,14,16,16
"Gene_292",39,40,39,34,41,41
"Gene_293",209,265,311,154,397,342
"Gene_294",0,2,1,2,2,2
"Gene_295",2,0,0,1,2,2
"Gene_296",4,6,6,1,32,8
"Gene_297",3,2,7,2,8,5
"Gene_298",24,5,8,11,16,12
"Gene_299",5,7,26,8,5,8
"Gene_300",514,664,1176,380,500,349
"Gene_301",149,180,126,113,168,165
"Gene_302",3,2,9,3,8,6
"Gene_303",181,174,128,82,245,139
"Gene_304",11,10,9,21,13,22
"Gene_305",5,3,11,7,10,12
"Gene_306",3,10,5,5,2,5
"Gene_307",0,3,0,0,0,2
"Gene_308",19,22,36,33,32,33
"Gene_309",7,10,9,15,20,11
"Gene_310",2,0,5,1,2,0
"Gene_311",42,32,38,63,28,77
"Gene_312",13,18,13,28,24,15
"Gene_313",90,54,57,74,79,66
"Gene_314",5,0,3,2,3,7
"Gene_315",2,0,1,1,2,2
"Gene_316",0,2,4,4,2,4
"Gene_317",2,0,1,0,1,0
"Gene_318",21,14,21,15,15,25
"Gene_319",29,25,44,24,13,28
"Gene_320",8,17,8,9,6,21
"Gene_321",383,266,283,821,806,1209
"Gene_322",21,22,27,11,20,16
"Gene_323",0,0,1,0,0,0
"Gene_324",0,0,1,0,0,0
"Gene_325",20,20,25,8,33,21
"Gene_326",108,43,85,115,85,100
"Gene_327",1,2,9,8,2,12
"Gene_328",1,1,0,0,5,4
"Gene_329",0,0,1,0,0,0
"Gene_330",72,64,43,66,80,57
"Gene_331",29,27,80,20,29,41
"Gene_332",5,6,3,4,5,12
"Gene_333",35,35,21,24,27,20
"Gene_334",120,141,198,125,113,136
"Gene_335",224,133,144,68,218,230
"Gene_336",2,2,1,4,0,1
"Gene_337",1,6,10,11,13,12
"Gene_338",2,2,4,1,0,0
"Gene_339",210,360,339,327,223,416
"Gene_340",244,275,218,278,327,377
"Gene_341",482,487,474,275,514,376
"Gene_342",10,12,15,14,25,8
"Gene_343",2,0,4,6,4,3
"Gene_344",172,244,240,332,259,195
"Gene_345",59,72,86,45,119,115
"Gene_346",50,35,28,32,23,25
"Gene_347",5,19,12,19,14,10
"Gene_348",18,34,36,6,49,19
"Gene_349",6,5,4,1,11,1
"Gene_350",0,0,1,0,0,2
"Gene_351",109,101,101,114,117,132
"Gene_352",0,0,0,0,0,1
"Gene_353",2,7,3,5,7,8
"Gene_354",15,13,12,16,14,26
"Gene_355",28,34,37,10,32,57
"Gene_356",28,16,26,14,38,43
"Gene_357",13,15,19,53,20,20
"Gene_358",51,38,18,42,50,30
"Gene_359",87,63,105,72,133,114
"Gene_360",9,5,5,3,8,9
"Gene_361",0,1,0,1,1,0
"Gene_362",11,20,23,39,11,7
"Gene_363",6,10,7,6,7,6
"Gene_364",11,15,12,25,39,40
"Gene_365",2,5,2,4,5,5
"Gene_366",11,3,4,0,6,4
"Gene_367",0,0,1,0,0,2
"Gene_368",47,25,16,9,46,31
"Gene_369",2,16,35,7,5,12
"Gene_370",22,14,15,6,11,16
"Gene_371",19,13,16,21,17,12
"Gene_372",161,189,109,123,200,143
"Gene_373",35,40,42,27,27,31
"Gene_374",24,49,68,60,33,53
"Gene_375",1,0,1,1,0,0
"Gene_376",2,3,2,2,0,5
"Gene_377",22,38,97,60,22,19
"Gene_378",63,65,161,109,92,156
"Gene_379",33,26,55,35,23,40
"Gene_380",150,60,65,59,110,92
"Gene_381",1,2,2,2,0,3
"Gene_382",22,29,33,27,13,24
"Gene_383",107,63,50,67,89,85
"Gene_384",0,0,2,1,0,1
"Gene_385",102,113,54,58,132,70
"Gene_386",10,5,6,3,10,0
"Gene_387",49,48,88,39,27,37
"Gene_388",12,8,14,14,13,4
"Gene_389",110,123,167,97,130,120
"Gene_390",0,1,2,2,1,1
"Gene_391",87,102,81,93,130,102
"Gene_392",2,4,9,4,4,4
"Gene_393",6,11,9,15,8,8
"Gene_394",2,8,6,8,7,8
"Gene_395",87,59,85,65,112,81
"Gene_396",74,95,145,116,69,82
"Gene_397",59,67,77,89,83,93
"Gene_398",29,43,146,118,28,72
"Gene_399",1,1,3,0,0,0
"Gene_400",4,3,1,0,7,6
"Gene_401",13,15,51,39,16,21
"Gene_402",474,673,1030,3909,898,3096
"Gene_403",6,6,4,5,10,11
"Gene_404",3,1,1,0,0,2
"Gene_405",41,29,24,46,46,34
"Gene_406",335,347,275,240,493,319
"Gene_407",8,9,11,18,7,9
"Gene_408",0,0,0,0,0,1
"Gene_409",208,171,158,132,206,175
"Gene_410",21,15,39,24,20,28
"Gene_411",161,136,282,167,224,240
"Gene_412",90,60,51,53,72,74
"Gene_413",2,1,4,1,2,0
"Gene_414",13,12,2,2,16,12
"Gene_415",2692,1952,798,622,2085,1375
"Gene_416",10,3,9,7,16,12
"Gene_417",59,46,62,76,44,43
"Gene_418",6,13,1,6,12,7
"Gene_419",35,33,25,27,53,42
"Gene_420",312,421,486,431,391,547
"Gene_421",112,121,92,132,111,127
"Gene_422",47,35,34,64,61,82
"Gene_423",0,0,1,0,0,0
"Gene_424",48,30,42,53,50,47
"Gene_425",30,34,29,26,33,109
"Gene_426",106,106,90,153,111,197
"Gene_427",10,18,12,12,21,19
"Gene_428",181,137,247,112,252,214
"Gene_429",11,10,25,7,16,14
"Gene_430",309,420,500,358,506,611
"Gene_431",535,523,454,536,664,652
"Gene_432",700,715,512,824,1013,1056
"Gene_433",72,81,91,56,91,78
"Gene_434",41,46,29,44,81,31
"Gene_435",3,4,1,0,6,7
"Gene_436",878,889,840,509,1429,1309
"Gene_437",21,14,14,19,12,14
"Gene_438",657,338,250,234,407,500
"Gene_439",1,2,3,1,1,3
"Gene_440",3,3,11,0,7,4
"Gene_441",3,7,6,2,3,5
"Gene_442",18,10,6,20,12,35
"Gene_443",114,117,205,151,208,150
"Gene_444",122,107,69,64,117,114
"Gene_445",26,28,37,33,66,43
"Gene_446",117,114,110,91,195,180
"Gene_447",28,25,49,25,21,25
"Gene_448",170,145,130,188,200,202
"Gene_449",70,93,197,91,234,123
"Gene_450",46,82,124,65,55,66
"Gene_451",47,25,33,26,47,19
"Gene_452",138,156,132,163,144,162
"Gene_453",6,6,2,5,8,4
"Gene_454",3,5,7,2,3,9
"Gene_455",58,44,73,44,90,66
"Gene_456",24,11,25,12,22,19
"Gene_457",528,487,398,502,805,663
"Gene_458",1002,1213,1158,1132,1928,1565
"Gene_459",181,143,144,53,249,197
"Gene_460",48,37,27,46,54,36
"Gene_461",196,202,216,120,180,173
"Gene_462",3,7,7,6,5,3
"Gene_463",98,123,124,123,181,275
"Gene_464",278,420,241,438,417,572
"Gene_465",5,2,4,3,10,4
"Gene_466",0,0,2,0,1,1
"Gene_467",1,4,16,6,3,2
"Gene_468",158,125,170,135,182,150
"Gene_469",40,30,33,32,46,26
"Gene_470",51,44,46,24,64,53
"Gene_471",41,73,48,71,52,42
"Gene_472",23,21,31,31,25,31
"Gene_473",4,8,12,2,4,1
"Gene_474",53,46,49,28,36,41
"Gene_475",2,2,2,3,5,0
"Gene_476",45,42,36,49,62,43
"Gene_477",1,0,7,5,1,3
"Gene_478",8,7,22,13,12,6
"Gene_479",212,180,190,168,245,182
"Gene_480",20,34,18,21,44,25
"Gene_481",122,118,114,133,168,160
"Gene_482",4,5,4,1,1,3
"Gene_483",0,6,3,2,0,0
"Gene_484",3,3,3,1,4,2
"Gene_485",150,157,276,337,134,126
"Gene_486",30,12,47,13,55,23
"Gene_487",1,0,2,0,1,2
"Gene_488",0,1,0,0,1,0
"Gene_489",147,146,111,129,199,134
"Gene_490",52,80,45,36,71,48
"Gene_491",91,110,74,121,126,67
"Gene_492",28,17,16,17,29,17
"Gene_493",40,38,31,25,46,47
"Gene_494",7,3,6,12,5,8
"Gene_495",8,13,3,4,6,5
"Gene_496",398,290,305,190,297,346
"Gene_497",132,100,70,106,167,129
"Gene_498",34,60,40,25,52,43
"Gene_499",21,17,32,9,20,16
"Gene_500",115,92,117,148,170,112
"Gene_501",42,50,50,75,46,29
"Gene_502",21,17,16,18,16,24
"Gene_503",247,373,342,615,320,511
"Gene_504",2,0,4,4,3,0
"Gene_505",34,28,39,24,55,41
"Gene_506",62,57,173,122,68,59
"Gene_507",43,21,39,31,47,40
"Gene_508",12,7,13,4,11,11
"Gene_509",149,151,138,167,167,187
"Gene_510",2,3,4,0,2,4
"Gene_511",2,4,12,5,4,10
"Gene_512",110,113,100,94,164,165
"Gene_513",195,196,259,129,178,212
"Gene_514",74,91,81,63,98,90
"Gene_515",0,1,1,0,1,0
"Gene_516",69,144,108,120,71,138
"Gene_517",38,18,27,39,29,29
"Gene_518",34,39,35,28,39,45
"Gene_519",77,88,42,64,93,46
"Gene_520",216,183,192,217,242,293
"Gene_521",33,13,23,30,30,35
"Gene_522",9,11,10,6,9,8
"Gene_523",51,55,88,63,85,86
"Gene_524",3,3,2,5,4,0
"Gene_525",221,218,262,250,260,263
"Gene_526",274,235,182,304,282,353
"Gene_527",21,30,14,26,18,16
"Gene_528",27,36,36,22,24,45
"Gene_529",0,0,0,1,0,0
"Gene_530",0,1,0,0,0,0
"Gene_531",148,139,114,115,126,162
"Gene_532",242,219,222,177,311,276
"Gene_533",6,4,3,3,7,4
"Gene_534",11,8,11,2,8,2
"Gene_535",65,56,117,72,56,75
"Gene_536",5,7,20,4,10,17
"Gene_537",24,8,7,11,15,10
"Gene_538",0,1,0,0,0,1
"Gene_539",21,34,20,25,30,27
"Gene_540",23,37,32,26,28,23
"Gene_541",110,78,84,47,72,134
"Gene_542",114,186,144,158,122,189
"Gene_543",489,496,276,300,673,493
"Gene_544",5,1,2,3,2,4
"Gene_545",2,0,4,2,3,1
"Gene_546",369,411,252,503,405,567
"Gene_547",25,37,12,20,28,29
"Gene_548",99,101,144,54,63,112
"Gene_549",12,9,19,4,2,8
"Gene_550",23,33,12,72,23,22
"Gene_551",0,0,1,0,1,0
"Gene_552",217,184,159,127,254,170
"Gene_553",58,54,45,40,68,68
"Gene_554",93,75,126,74,116,125
"Gene_555",40,31,29,37,22,37
"Gene_556",0,1,0,0,0,0
"Gene_557",93,64,590,143,83,191
"Gene_558",80,123,120,149,117,141
"Gene_559",44,80,34,77,108,68
"Gene_560",58,83,174,80,54,98
"Gene_561",7,1,0,2,4,1
"Gene_562",77,42,85,51,46,57
"Gene_563",2,9,4,7,8,10
"Gene_564",13,9,23,10,19,14
"Gene_565",2,0,3,1,1,0
"Gene_566",168,132,96,114,218,101
"Gene_567",88,69,74,63,87,62
"Gene_568",146,118,83,132,166,182
"Gene_569",0,0,1,0,0,0
"Gene_570",0,0,3,0,0,1
"Gene_571",139,162,103,91,134,123
"Gene_572",13,7,19,5,15,12
"Gene_573",7,5,7,0,8,5
"Gene_574",13,9,3,16,18,17
"Gene_575",122,115,64,112,101,64
"Gene_576",56,61,58,77,88,79
"Gene_577",176,135,168,232,234,226
"Gene_578",255,319,281,298,472,485
"Gene_579",226,351,342,297,332,642
"Gene_580",45,33,110,12,28,51
"Gene_581",6,7,7,13,13,10
"Gene_582",164,145,126,115,202,148
"Gene_583",423,346,311,517,660,501
"Gene_584",25,18,30,15,36,38
"Gene_585",22,27,9,1,21,16
"Gene_586",425,402,779,619,546,721
"Gene_587",43,25,23,45,32,42
"Gene_588",0,1,0,0,0,0
"Gene_589",13,6,1,10,7,9
"Gene_590",11,16,8,5,7,13
"Gene_591",174,142,100,84,176,123
"Gene_592",171,91,125,77,242,194
"Gene_593",2,0,1,2,2,2
"Gene_594",37,41,44,48,47,41
"Gene_595",12,7,4,2,9,12
"Gene_596",0,0,0,0,1,0
"Gene_597",105,101,100,114,228,111
"Gene_598",1,1,1,0,0,0
"Gene_599",3151,3713,3422,2976,5060,5667
"Gene_600",62,54,128,57,76,62
"Gene_601",2,0,1,0,3,0
"Gene_602",101,67,98,41,98,91
"Gene_603",11,9,23,22,11,19
"Gene_604",44,33,55,16,31,32
"Gene_605",15,10,17,5,24,25
"Gene_606",270,440,346,244,412,342
"Gene_607",68,79,89,125,87,182
"Gene_608",64,34,49,67,78,69
"Gene_609",1124,1091,1021,1206,1321,1785
"Gene_610",0,0,0,0,0,1
"Gene_611",4,16,11,11,31,29
"Gene_612",415,472,378,571,673,664
"Gene_613",87,80,87,58,130,126
"Gene_614",269,185,229,233,267,212
"Gene_615",6,3,2,3,8,2
"Gene_616",4,3,5,3,4,2
"Gene_617",2,3,1,1,2,2
"Gene_618",154,141,226,119,152,188
"Gene_619",4,1,2,2,4,11
"Gene_620",349,324,323,328,474,236
"Gene_621",23,14,7,7,25,22
"Gene_622",53,51,7,21,37,25
"Gene_623",5,11,26,13,6,17
"Gene_624",301,305,358,367,317,257
"Gene_625",253,234,242,174,305,281
"Gene_626",80,130,147,103,82,157
"Gene_627",114,95,84,122,103,151
"Gene_628",43,33,59,55,48,71
"Gene_629",41,25,17,25,34,26
"Gene_630",36,23,28,20,30,29
"Gene_631",111,97,117,112,118,119
"Gene_632",42,57,127,44,44,61
"Gene_633",0,1,4,1,0,1
"Gene_634",188,217,300,194,194,182
"Gene_635",10,3,1,13,11,7
"Gene_636",35,27,36,32,43,35
"Gene_637",48,40,43,31,65,81
"Gene_638",9,8,27,6,11,9
"Gene_639",35,25,32,29,40,43
"Gene_640",1107,1249,850,835,1050,885
"Gene_641",132,127,48,79,124,71
"Gene_642",0,0,1,0,0,0
"Gene_643",0,0,1,0,0,0
"Gene_644",486,414,446,314,594,494
"Gene_645",97,103,75,86,103,148
"Gene_646",20,12,7,18,14,11
"Gene_647",0,3,2,0,2,0
"Gene_648",0,2,2,1,1,0
"Gene_649",8,9,1,2,5,4
"Gene_650",3,0,3,5,2,5
"Gene_651",12,15,18,10,17,14
"Gene_652",654,721,398,359,630,403
"Gene_653",2,0,2,1,1,0
"Gene_654",89,42,58,41,69,43
"Gene_655",58,44,48,65,42,52
"Gene_656",208,201,249,194,260,275
"Gene_657",731,613,569,580,901,607
"Gene_658",15,55,99,95,28,92
"Gene_659",0,0,2,0,2,3
"Gene_660",3,4,0,4,0,4
"Gene_661",306,297,172,148,330,264
"Gene_662",0,0,1,0,0,2
"Gene_663",1,2,3,0,1,1
"Gene_664",61,55,64,38,57,45
"Gene_665",96,106,102,85,122,105
"Gene_666",68,59,77,42,49,37
"Gene_667",127,91,92,117,118,122
"Gene_668",5,9,14,11,11,6
"Gene_669",54,36,71,41,86,70
"Gene_670",443,389,584,478,535,591
"Gene_671",98,68,67,61,121,82
"Gene_672",164,79,58,56,203,123
"Gene_673",63,73,101,114,82,85
"Gene_674",79,60,74,110,80,61
"Gene_675",1139,660,326,440,1136,726
"Gene_676",49,36,49,32,45,43
"Gene_677",231,195,319,240,460,244
"Gene_678",71,162,421,102,91,129
"Gene_679",15,19,54,15,23,15
"Gene_680",276,346,176,407,427,381
"Gene_681",194,228,261,237,277,299
"Gene_682",44,74,81,62,71,100
"Gene_683",9,15,13,19,9,11
"Gene_684",1,1,2,0,4,0
"Gene_685",1,1,3,2,1,3
"Gene_686",281,278,231,275,319,332
"Gene_687",2,21,16,20,12,15
"Gene_688",5,1,12,4,1,6
"Gene_689",99,81,149,148,162,160
"Gene_690",41,48,41,30,55,48
"Gene_691",69,45,49,24,52,111
"Gene_692",23,28,37,48,35,54
"Gene_693",0,1,0,0,0,0
"Gene_694",35,44,42,37,35,45
"Gene_695",76,53,65,20,78,66
"Gene_696",4,5,7,4,2,4
"Gene_697",1,1,1,4,3,7
"Gene_698",1,0,1,1,1,0
"Gene_699",34,44,92,50,41,44
"Gene_700",36,18,14,35,27,31
"Gene_701",40,52,90,42,36,45
"Gene_702",3,3,2,1,1,3
"Gene_703",76,63,54,75,69,62
"Gene_704",26,23,32,31,32,34
"Gene_705",47,33,85,68,54,52
"Gene_706",16,12,11,13,14,10
"Gene_707",0,0,1,0,0,0
"Gene_708",13,9,12,10,25,21
"Gene_709",0,0,0,0,1,0
"Gene_710",0,0,4,2,2,1
"Gene_711",127,113,133,104,248,212
"Gene_712",5,20,5,7,23,9
"Gene_713",0,3,1,1,0,1
"Gene_714",0,0,0,1,1,0
"Gene_715",277,283,218,207,347,285
"Gene_716",1,4,2,2,3,2
"Gene_717",0,0,0,0,0,1
"Gene_718",61,60,70,65,74,68
"Gene_719",0,1,0,0,1,1
"Gene_720",3,1,14,1,1,6
"Gene_721",158,231,172,277,295,287
"Gene_722",0,2,0,1,1,0
"Gene_723",36,19,33,32,25,38
"Gene_724",327,423,275,488,489,462
"Gene_725",4,8,24,16,23,20
"Gene_726",256,155,294,96,197,176
"Gene_727",12,3,12,10,11,13
"Gene_728",375,317,212,184,399,176
"Gene_729",3,0,6,6,6,3
"Gene_730",4,0,10,0,12,0
"Gene_731",315,311,348,379,429,391
